Disease area;ICD-10 chapter
Infectious and parasitic diseases;1
Neoplasms;2
Endocrine, Metabolic, Immune and Genitourinary Disorders;3
Endocrine, Metabolic, Immune and Genitourinary Disorders;4
Mental and neurological conditions;5
Mental and neurological conditions;6
unassigned;7
Sense organ diseases;8
Cardiovascular diseases;9
Respiratory Infectious and diseases;10
Digestive diseases;11
Skin diseases;12
Musculoskeletal diseases;13
Endocrine, Metabolic, Immune and Genitourinary Disorders;14
Maternal conditions;15
Neonatal conditions;16
Congenital anomalies;17
Sudden infant death syndrome;18
unassigned;19
Injuries;20
unassigned;21
Respiratory Infectious and diseases;22
