ICD-10 chapter;Count (ICD-10 chapter);Name (ICD-10 chapter);Distribution (ICD-10 chapter)
2;28;Neoplasms;14.814814814814815
4;25;Endocrine, nutritional and metabolic diseases;13.227513227513228
1;24;Certain infectious and parasitic diseases;12.698412698412698
9;23;Diseases of the circulatory system;12.16931216931217
22;18;Codes for special purposes (COVID-19);9.523809523809524
13;17;Diseases of the musculoskeletal system and connective tissue;8.994708994708995
5;13;Mental and behavioural disorders;6.878306878306878
3;11;0;5.8201058201058204
15;8;0;4.232804232804233
6;6;Diseases of the nervous system;3.1746031746031744
12;5;Diseases of the skin and subcutaneous tissue;2.6455026455026456
14;5;Diseases of the genitourinary system;2.6455026455026456
10;4;Diseases of the respiratory system;2.1164021164021163
other;2;other;1.0582010582010581
