Disease area;Count (Disease area);Distribution (Disease area)
unassigned;2;5.405405405405405
Skin diseases;1;2.7027027027027026
Respiratory Infectious and diseases;3;8.108108108108109
Neoplasms;7;18.91891891891892
Neonatal conditions;1;2.7027027027027026
Maternal conditions;1;2.7027027027027026
Infectious and parasitic diseases;13;35.13513513513514
Endocrine, Metabolic, Immune and Genitourinary Disorders;3;8.108108108108109
Digestive diseases;1;2.7027027027027026
Congenital anomalies;1;2.7027027027027026
Cardiovascular diseases;4;10.81081081081081
