ICD-10 chapter;Count (ICD-10 chapter);Name (ICD-10 chapter);Distribution (ICD-10 chapter)
2;147;Neoplasms;17.94871794871795
9;112;Diseases of the circulatory system;13.675213675213675
5;110;Mental and behavioural disorders;13.431013431013431
4;74;Endocrine, nutritional and metabolic diseases;9.035409035409035
22;55;Codes for special purposes (COVID-19);6.715506715506716
1;51;Certain infectious and parasitic diseases;6.227106227106227
13;42;Diseases of the musculoskeletal system and connective tissue;5.128205128205129
10;33;Diseases of the respiratory system;4.029304029304029
6;31;Diseases of the nervous system;3.785103785103785
11;28;Diseases of the digestive system;3.4188034188034186
14;21;Diseases of the genitourinary system;2.5641025641025643
15;19;0;2.31990231990232
19;17;0;2.075702075702076
12;16;Diseases of the skin and subcutaneous tissue;1.9536019536019535
7;15;0;1.8315018315018314
18;12;Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified;1.465201465201465
3;9;0;1.098901098901099
other;27;other;3.2967032967032965
