World Bank income group (Data origin);World Bank income group (First author)
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;Upper-middle-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Low-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Low-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;Upper-middle-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Low-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Low-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
High-income economies;High-income economies
High-income economies;High-income economies
Upper-middle-income economies;High-income economies
