Origin income group;Author income group
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
High-income economies;Upper-middle-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Low-income economies;High-income economies
High-income economies;Upper-middle-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Lower-middle-income economies;High-income economies
Low-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Lower-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Low-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
Upper-middle-income economies;High-income economies
